school_name,level,school_type,ode_school_id,nces_school_id,street_address,city,zip_code,latitude,longitude,is_closure_candidate,closure_rank,is_title_i,is_urm_building,urm_retrofit_cost_usd,seismic_retrofit_status,recent_boundary_change,programs,has_dli,dli_languages,has_focus_option,dli_students_2526,neighborhood_students_2526,pct_dli_2526,year_built,square_feet,construction_type_2009,functional_capacity_2021,utilization_pct_2526,enrollment_2024_25,enrollment_2025_26,enrollment_pct_change,enrollment_2018,enrollment_2019,enrollment_2020,enrollment_2021,enrollment_2022,enrollment_2023,ccd_enrollment_2022,pct_ela_prof_2425,pct_math_prof_2425,pct_ela_prof_2324,pct_math_prof_2324,n_ela_participants_2425,n_math_participants_2425,pct_regular_attenders_2425,pct_experienced_teachers_2425,pct_teacher_retention_2425,class_size_2425,crdc_lep_2020,crdc_idea_2020,crdc_chronic_absent_2020,pct_lep,pct_idea,counselors_fte_2021,social_workers_fte_2021,psychologists_fte_2021,nurses_fte_2021,suspensions_2021,chronic_absent_2021,enrollment_crdc_2021,frl_free_lunch,frl_reduced_lunch,frl_direct_certification,pct_free_lunch,pct_frl,pct_direct_cert,pct_ai_an,pct_asian,pct_nhpi,pct_black,pct_hispanic,pct_white,pct_multiracial,affordable_units_within_1mi,pipeline_affordable_units_within_1mi,pipeline_family_units_within_1mi,n_pipeline_projects_within_1mi,permits_units_within_1mi_since_2022,n_permits_within_1mi_since_2022
Rosa Parks Elementary School,elementary,Regular School,829.0,411004000872.0,8960 N Woolsey Ave,Portland,97203,45.58786,-122.712724,True,1.0,True,False,,,,,False,,False,,,,2006.0,46657.0,Wood,594.0,0.2694,172.0,160.0,-0.0698,275.0,278.0,266.0,214.0,197.0,177.0,197.0,17.3,11.1,17.0,13.8,83.0,83.0,50.0,70.0,71.0,14.5,72.0,42.0,110.0,0.45,0.2625,1.0,0.5,0.0,0.25,15.0,137.0,211.0,128.0,0.0,124.0,0.6497,0.6497,0.6294,0.0,0.03125,0.0125,0.35,0.36875,0.1375,0.1,1694,0,0,0,21,21
Whitman Elementary School,elementary,Regular School,900.0,411004000949.0,7326 SE Flavel St,Portland,97206,45.4681,-122.5873,True,2.0,True,False,,,,,False,,False,,,,1954.0,68763.0,Wood,493.0,0.3915,198.0,193.0,-0.0253,238.0,220.0,185.0,152.0,153.0,180.0,153.0,31.4,21.2,40.4,29.9,88.0,88.0,63.0,75.0,78.0,20.0,35.0,35.0,68.0,0.1813,0.1813,1.0,0.5,0.0,0.25,33.0,79.0,149.0,123.0,0.0,50.0,0.8039,0.8039,0.3268,0.02591,0.09845,0.02591,0.11399,0.23834,0.36269,0.13472,144,0,0,0,135,130
Skyline Elementary School,k8,Regular School,890.0,411004000938.0,11536 NW Skyline Blvd,Portland,97231,45.6077,-122.856472,True,3.0,False,False,,targeted,,,False,,False,,,,1939.0,37245.0,Wood,282.0,0.734,226.0,207.0,-0.0841,274.0,248.0,181.0,205.0,215.0,218.0,215.0,74.7,63.0,71.7,62.0,146.0,146.0,83.0,85.0,80.0,22.0,0.0,29.0,16.0,0.0,0.1401,1.5,0.0,0.0,0.25,30.0,68.0,205.0,21.0,7.0,13.0,0.0977,0.1302,0.0605,0.0,0.03865,0.00483,0.02415,0.1256,0.66184,0.14493,0,0,0,0,17,15
Creston Elementary School,elementary,Regular School,843.0,411004000886.0,4701 SE Bush St,Portland,97206,45.4954,-122.6147,True,4.0,False,True,10970000.0,targeted,SEGC 2023,,False,,False,,,,1948.0,70765.0,Wood,558.0,0.3925,246.0,219.0,-0.1098,361.0,375.0,387.0,249.0,260.0,238.0,260.0,66.1,67.2,64.5,54.8,122.0,120.0,77.0,100.0,75.0,17.0,34.0,92.0,44.0,0.1553,0.4201,1.0,0.5,0.0,0.25,30.0,100.0,249.0,202.0,0.0,40.0,0.7769,0.7769,0.1538,0.0,0.05023,0.00913,0.02283,0.15068,0.6621,0.10502,76,180,4,2,325,97
Odyssey Program (K-8),k8,Program,,,5037 SW Iowa St,Portland,97221,45.4804,-122.729,True,5.0,False,False,,,,TAG / integrated focus,False,,True,,,,,,,,,,217.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,126,0,0,0,222,100
Woodmere Elementary School,elementary,Regular School,903.0,411004000953.0,7900 SE Duke St,Portland,97206,45.4751,-122.5824,True,6.0,True,False,,,,,False,,False,,,,1954.0,55324.0,Wood,473.0,0.4778,241.0,226.0,-0.0622,301.0,273.0,269.0,253.0,234.0,248.0,234.0,27.7,21.6,28.9,25.9,120.0,117.0,57.0,67.0,85.0,17.0,64.0,66.0,81.0,0.2832,0.292,1.0,0.5,0.0,0.23,15.0,116.0,254.0,154.0,0.0,94.0,0.6581,0.6581,0.4017,0.00885,0.12389,0.00442,0.09735,0.24779,0.34513,0.17257,188,0,0,0,113,90
Arleta Elementary School,elementary,Regular School,826.0,411004000869.0,5109 SE 66th Ave,Portland,97206,45.4862,-122.5961,True,7.0,True,False,,targeted,,,False,,False,,,,1929.0,76489.0,LRCW,696.0,0.3305,252.0,230.0,-0.0873,490.0,525.0,485.0,270.0,256.0,274.0,256.0,47.4,47.4,51.0,42.6,137.0,135.0,70.0,85.0,68.0,20.0,42.0,94.0,123.0,0.1826,0.4087,1.5,0.0,0.0,0.25,33.0,117.0,269.0,168.0,0.0,48.0,0.6562,0.6562,0.1875,0.00435,0.03043,0.00435,0.02174,0.14783,0.61739,0.17391,114,0,0,0,110,108
Peninsula Elementary School,elementary,Regular School,879.0,411004000926.0,8125 N Emerald Ave,Portland,97217,45.5819,-122.700338,True,8.0,True,False,,,,,False,,False,,,,1952.0,70151.0,Wood,613.0,0.3899,235.0,239.0,0.017,265.0,265.0,237.0,201.0,225.0,234.0,225.0,50.9,36.4,57.1,36.2,109.0,108.0,66.0,81.0,83.0,15.0,14.0,70.0,51.0,0.0586,0.2929,1.0,0.5,0.0,0.25,51.0,91.0,198.0,145.0,0.0,45.0,0.6444,0.6444,0.2,0.01674,0.0251,0.00418,0.12971,0.20084,0.45188,0.17155,799,184,80,4,236,131
Chief Joseph Elementary School,elementary,Regular School,840.0,411004000883.0,2409 N Saratoga St,Portland,97217,45.5729,-122.6915,True,9.0,False,False,,targeted,,,False,,False,,,,1949.0,44412.0,Wood,499.0,0.495,278.0,247.0,-0.1115,358.0,351.0,305.0,273.0,261.0,265.0,261.0,63.0,55.2,61.8,55.1,127.0,125.0,83.0,88.0,83.0,22.0,25.0,42.0,42.0,0.1012,0.17,1.0,0.5,0.0,0.25,15.0,85.0,268.0,168.0,0.0,36.0,0.6437,0.6437,0.1379,0.0,0.00405,0.01215,0.05263,0.12955,0.68826,0.11336,340,0,0,0,254,90
Lee Elementary School,elementary,Regular School,869.0,411004000914.0,2222 NE 92nd Ave,Portland,97220,45.5381,-122.5677,True,10.0,True,False,,,DBRAC 2018,,False,,False,,,,1953.0,73276.0,Wood,443.0,0.5666,257.0,251.0,-0.0233,276.0,269.0,263.0,236.0,274.0,289.0,274.0,47.1,41.5,37.4,31.7,137.0,135.0,65.0,93.0,86.0,21.0,66.0,39.0,53.0,0.2629,0.1554,0.0,0.5,0.0,0.27,42.0,99.0,235.0,201.0,0.0,64.0,0.7336,0.7336,0.2336,0.00398,0.09163,0.03984,0.13546,0.18725,0.43426,0.10757,767,0,0,0,40,39
