school_name,type,program,grades,hist_2022_23,hist_2023_24,hist_2024_25,fcst_2025_26,fcst_2026_27,fcst_2027_28,fcst_2028_29,fcst_2029_30,fcst_2030_31,fcst_2031_32,fcst_2032_33,fcst_2033_34,fcst_2034_35
Abernethy,ES,Total,K-5,352,330,284,256,233,222,215,217,216,219,219,222,219
Buckman,ES,Total,K-5,394,371,308,284,245,223,219,218,225,225,228,230,228
Duniway,ES,Total,K-5,422,409,387,367,356,317,314,310,313,318,322,321,321
Grout,ES,Total,K-5,316,302,294,279,256,247,234,237,240,244,248,252,251
Lewis,ES,Total,K-5,320,298,264,256,236,213,185,190,191,195,195,197,197
Llewellyn,ES,Total,K-5,415,393,373,345,333,311,302,316,329,332,336,337,335
Whitman,ES,Total,K-5,153,180,198,206,213,220,228,227,228,232,235,237,236
Woodstock,ES,Mandarin,K-5,248,237,206,189,186,180,180,176,182,183,184,185,184
Woodstock,ES,Neighborhood,K-5,240,214,188,168,148,128,125,128,130,131,131,129,127
Woodstock,ES,Total,K-5,488,451,394,357,334,308,305,304,312,314,315,314,311
Hosford,MS,Mandarin,6-8,96,0,0,0,0,0,0,0,0,0,0,0,0
Hosford,MS,Neighborhood,6-8,469,517,537,509,484,431,0,0,0,0,0,0,0
Hosford,MS,Total,6-8,565,517,537,509,484,431,404,352,336,313,309,313,317
Sellwood,MS,Total,6-8,563,567,576,564,536,523,501,468,408,375,373,376,378
Cleveland,HS,Mandarin,9-12,131,146,131,116,99,92,108,122,129,130,122,122,119
Cleveland,HS,Neighborhood,9-12,1415,1328,1291,1282,1270,1317,1299,1249,1187,1132,1034,951,894
Cleveland,HS,Total,9-12,1546,1474,1422,1398,1369,1409,1407,1371,1316,1262,1156,1073,1013
Arleta,ES,Total,K-5,256,274,252,230,212,209,207,205,215,221,225,224,223
Atkinson,ES,Neighborhood,K-5,196,203,188,182,167,172,175,174,187,192,192,194,194
Atkinson,ES,Spanish,K-5,141,163,185,181,181,180,180,182,172,175,178,183,184
Atkinson,ES,Total,K-5,337,366,373,363,348,352,355,356,359,367,370,377,378
Creston,ES,Total,K-5,259,238,241,226,213,228,224,222,221,220,217,206,205
Glencoe,ES,Total,K-5,394,372,356,330,305,281,257,266,269,275,283,289,285
Kelly,ES,Neighborhood,K-5,213,232,246,263,252,232,234,232,224,224,225,233,232
Kelly,ES,Russian,K-5,142,144,139,136,130,117,109,112,109,110,111,113,112
Kelly,ES,Total,K-5,355,376,385,399,382,349,343,344,333,334,336,346,344
Lent,ES,Neighborhood,K-5,122,0,0,0,0,0,0,0,0,0,0,0,0
Lent,ES,Spanish,K-5,128,273,256,269,261,259,263,256,261,263,270,276,282
Lent,ES,Total,K-5,250,273,256,269,261,259,263,256,261,263,270,276,282
Marysville,ES,Total,K-5,286,359,320,297,284,268,255,254,248,246,238,239,238
Woodmere,ES,Total,K-5,235,248,242,243,236,227,227,225,219,216,219,222,219
Bridger,-,Neighborhood,-,139,0,0,0,0,0,0,0,0,0,0,0,0
Bridger,-,Spanish,-,190,0,0,0,0,0,0,0,0,0,0,0,0
Bridger,-,Total,-,329,0,0,0,0,0,0,0,0,0,0,0,0
Bridger Creative Science,K8,Total,K-8,0,515,474,468,454,440,423,435,442,441,443,448,451
Sunnyside Environmental,K8,Total,K-8,464,447,461,453,436,434,448,449,458,449,458,444,446
Kellogg,MS,Neighborhood,6-8,501,449,373,329,312,287,266,250,241,224,222,216,219
Kellogg,MS,Spanish,6-8,159,228,221,218,227,239,246,249,253,252,238,226,231
Kellogg,MS,Total,6-8,660,677,594,547,539,526,512,499,494,476,460,442,450
Lane,MS,Neighborhood,6-8,302,362,386,393,385,402,389,370,350,346,335,313,314
Lane,MS,Russian,6-8,34,29,32,36,40,42,44,41,36,31,30,28,28
Lane,MS,Total,6-8,336,391,418,429,425,444,433,411,386,377,365,341,342
Mt Tabor,MS,Japanese,6-8,239,244,238,227,216,211,207,211,220,229,228,219,215
Mt Tabor,MS,Neighborhood,6-8,302,259,229,197,192,187,187,165,154,132,130,128,134
Mt Tabor,MS,Spanish,6-8,65,0,0,0,0,0,0,0,0,0,0,0,0
Mt Tabor,MS,Total,6-8,606,503,467,424,408,398,394,376,374,361,358,347,349
Franklin,HS,Neighborhood,9-12,1786,1622,1612,1544,1483,1438,1353,1311,1230,1205,1158,1080,1035
Franklin,HS,Russian,9-12,40,41,36,35,33,35,34,37,44,43,39,42,36
Franklin,HS,Spanish,9-12,140,148,161,181,199,201,202,214,214,219,232,227,226
Franklin,HS,Total,9-12,1966,1811,1809,1760,1715,1674,1589,1562,1488,1467,1429,1349,1297
Alameda,ES,Total,K-5,538,521,496,492,480,456,451,455,454,455,460,472,468
Beverly Cleary,K8,Total,K-8,602,560,535,477,459,416,398,390,378,368,377,367,373
Laurelhurst,K8,Total,K-8,674,659,656,632,597,605,586,566,562,550,556,558,555
Beaumont,MS,Neighborhood,6-8,317,320,319,300,299,292,296,285,275,268,266,250,254
Beaumont,MS,Spanish,6-8,128,114,116,114,127,153,149,167,167,180,165,152,147
Beaumont,MS,Total,6-8,445,434,435,414,426,445,445,452,442,448,431,402,401
Grant,HS,Japanese,9-12,286,286,274,261,253,251,235,224,214,213,220,219,221
Grant,HS,Neighborhood,9-12,1872,1892,1875,1798,1717,1677,1601,1553,1539,1440,1360,1325,1255
Grant,HS,Total,9-12,2158,2178,2149,2059,1970,1928,1836,1777,1753,1653,1580,1544,1476
Boise-Eliot/Humboldt,ES,Total,K-5,324,308,315,309,303,289,301,295,288,280,277,278,268
Irvington,ES,Total,K-5,228,235,249,244,237,224,218,217,211,214,218,223,222
MLK Jr,ES,Mandarin,K-5,185,183,179,176,164,164,159,163,168,169,175,178,178
MLK Jr,ES,Neighborhood,K-5,116,124,133,129,124,127,125,117,116,117,116,115,114
MLK Jr,ES,Total,K-5,301,307,312,305,288,291,284,280,284,286,291,293,292
Sabin,ES,Total,K-5,311,302,293,272,253,230,235,229,225,227,229,230,230
Harriet Tubman,MS,Mandarin,6-8,28,32,43,51,57,51,55,49,49,45,44,44,42
Harriet Tubman,MS,Neighborhood,6-8,332,288,285,305,317,324,288,270,253,269,257,238,230
Harriet Tubman,MS,Total,6-8,360,320,328,356,374,375,343,319,302,314,301,282,272
Faubion,K8,Total,K-8,607,571,589,586,615,599,591,594,590,589,581,581,577
Vernon,K8,Total,K-8,555,578,563,554,530,505,496,492,479,471,469,471,470
Beach,ES,Neighborhood,K-5,145,134,121,108,113,117,114,116,119,120,122,124,124
Beach,ES,Spanish,K-5,201,191,174,160,138,117,114,108,111,113,115,116,115
Beach,ES,Total,K-5,346,325,295,268,251,234,228,224,230,233,237,240,239
Chief Joseph,ES,Total,K-5,261,265,275,260,255,255,248,246,241,242,245,249,250
Peninsula,ES,Total,K-5,224,234,235,235,238,231,228,224,223,224,226,229,227
Woodlawn,ES,Total,K-5,285,299,306,302,293,274,286,276,268,270,274,280,280
Ockley Green,MS,Neighborhood,6-8,383,350,341,382,367,367,353,390,392,392,364,347,347
Ockley Green,MS,Spanish,6-8,99,78,69,64,68,72,64,54,40,36,31,32,32
Ockley Green,MS,Total,6-8,482,428,410,446,435,439,417,444,432,428,395,379,379
Jefferson,HS,Mandarin,9-12,12,10,13,15,10,14,19,25,25,26,25,23,25
Jefferson,HS,Neighborhood,9-12,585,515,446,376,366,375,413,437,461,448,439,434,425
Jefferson,HS,Total,9-12,597,525,459,391,376,389,432,462,486,474,464,457,450
